//,prefix,name,class,checksw,sprite gr.,sprite sn.gr.,sprite c1,sprite c2,sprite,sprite des/sn,offset,size z,size xy,specterrain,minyear,maxyear,popul.,mail,probab,life,str. Name,c1a,c2a,c3a,rating,cost,flags,availability,zone,colour,c1,c2,c3,replace,building id,
TOWNBUILDING1(,BASETROP, HOUSES_3,CLASS_TROPIC,no_desert_switch,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_DESERT_1_2,4605,4606,4607,4607,0,16,16,TILETYPE_RAIN_FOREST,1860, MAX_YEAR,18,7,2,5, STR_TOWN_BUILDING_NAME_HOUSES_2,3,1,2,80,80, , bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS, MAIL,FOOD, 0x54  ,10,)
TOWNBUILDING1(,BASETROP, FLATS_1b,CLASS_TROPIC_FLATS,sameclassnearby2_switch,4608,4608,4608,4609,4610,4609,0,96,16,TILETYPE_DESERT,1973, MAX_YEAR,45,14,10,10, STR_TOWN_BUILDING_NAME_FLATS_1,6,2,1,95,110, , bitmask(CLIMATE_TROPICAL),  bitmask(TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_BGOR, PASS, MAIL,GOOD, 0x55  ,11,)
TOWNBUILDING1(,BASETROP, FLATS_1c,CLASS_TROPIC_FLATS,check_samecount2_switch() || (onlycity_switch() && sametypenearby3_max_switch()),4611,4611,4611,4612,4613,4612,0,64,16,TILETYPE_DESERT,1930,2000,35,12,10,15, STR_TOWN_BUILDING_NAME_FLATS_1,6,2,1,90,70, , bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS, MAIL,GOOD, 0x56  ,12,)
TOWNBUILDING1(,BASETROP, FLATS_1d,CLASS_TROPIC_FLATS,check_samecount2_switch() || (onlycity_switch() && roadSE_switch() && sameclassnearby2_switch()),4620,4620,4620,4621,4622,4621,0,64,16,TILETYPE_DESERT,1945, MAX_YEAR,40,14,2,10, STR_TOWN_BUILDING_NAME_FLATS_1,6,2,1,95,100, , bitmask(CLIMATE_TROPICAL) ,  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS, MAIL,GOOD, 0x59  ,13,)
TOWNBUILDING1(,BASETROP, TALL_OFFICE_BLOCK_1,CLASS_RESIDENTIAL,sametypenearby4_max_switch() && noslums_switch(),4623,4623,4615,4624,4625,4625,0,128,16,TILETYPE_DESERT,1993, MAX_YEAR,180,90,10,10, STR_TOWN_BUILDING_NAME_TALL_OFFICE_BLOCK_1,8,3,4,150,180, , bitmask(CLIMATE_TROPICAL),  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS, MAIL,GOOD, 0x5A  ,14,)
//,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSELAYOUT1(,BASETROP, TALL_OFFICE_BLOCK_21_W,CLASS_TROPIC,,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,4615,4617,4619,4619,0,128,16,TILETYPE_DESERT,,,,,,,,,,,,,,,,RECOLOUR_N, PASS, MAIL,GOOD, 0x57  ,16,)
TOWNBUILDING2X1(,BASETROP, TALL_OFFICE_BLOCK_21,CLASS_TROPIC,onlycity_switch() || sametypenearby3_max_switch(),GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,4614,4616,4618,4618,0,128,16,TILETYPE_DESERT,1984, MAX_YEAR,250,80,12,25, STR_TOWN_BUILDING_NAME_TALL_OFFICE_BLOCK_1,8,3,4,140,190,,bitmask(CLIMATE_TROPICAL),  bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB),RECOLOUR_N, PASS, MAIL,GOOD, 0x57  ,15,)
//other climates override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNBUILDING1(,BASEARCT,TALL_OFFICE_BLOCK_2,CLASS_ARCTIC,no_desert_switch,4434,4434,4435,4436,4437,4574,0,128,16,TILETYPE_SNOW,1966,MAX_YEAR,135,60,3,12, STR_TOWN_BUILDING_NAME_TALL_OFFICE_BLOCK_1,8,3,4,120,150,,bitmask(CLIMATE_ARCTIC | ABOVE_SNOWLINE | CLIMATE_TROPICAL),bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB),RECOLOUR_BGWBr, PASS,MAIL,GOOD,0x32  ,17,)
HOUSELAYOUT1(,BASETEMP,STADIUM_1_S,CLASS_TEMPERATE,,1482,1482,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,1486,1486,0,16,16,TILETYPE_SNOW,,,,,,,,,,,,,,,,,,,,,21,)
HOUSELAYOUT1(,BASETEMP,STADIUM_1_E,CLASS_TEMPERATE,,1480,1480,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,1484,1484,0,16,16,TILETYPE_SNOW,,,,,,,,,,,,,,,,,,,,,20,)
HOUSELAYOUT1(,BASETEMP,STADIUM_1_W,CLASS_TEMPERATE,,1481,1481,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,1485,1485,0,16,16,TILETYPE_SNOW,,,,,,,,,,,,,,,,,,,,,19,)
TOWNBUILDING2X2(,BASETEMP,STADIUM_1,CLASS_TEMPERATE,normal_only_switch,1479,1479,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,1483,1483,0,16,16,TILETYPE_SNOW,1955,MAX_YEAR,65,5,10,10, STR_TOWN_BUILDING_NAME_STADIUM_1,4,1,1,300,250,HOUSE_FLAG_STADIUM,bitmask(CLIMATE_TEMPERATE | CLIMATE_TROPICAL),bitmask(TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS,MAIL,FOOD,0x14  ,18,)
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNBUILDING1(,BASETEMP,SHOPS_AND_OFFICES_3,CLASS_TEMPERATE,adjacenttropicpark_switch() && sametypenearby3_max_switch(),1540,1540,1541,1543,1545,1545,0,64,16,TILETYPE_SNOW,1973,MAX_YEAR,180,64,5,10, STR_TOWN_BUILDING_NAME_SHOPS_AND_OFFICES_3,8,3,3,180,155,,bitmask(CLIMATE_TEMPERATE | CLIMATE_TROPICAL),bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS,MAIL,GOOD,0x1E ,22,)
TOWNBUILDING1(,BASEARCT,TALL_OFFICE_BLOCK_1c,CLASS_ARCTIC,check_samecount2_switch() || (onlycity_switch() && adjacenttropicpark_switch()),4442,4442,4443,4444,4445,4576,0,128,16,TILETYPE_SNOW,1974,MAX_YEAR,210,80,8,14, STR_TOWN_BUILDING_NAME_TALL_OFFICE_BLOCK_1,10,3,5,140,200,,bitmask(CLIMATE_ARCTIC | ABOVE_SNOWLINE | CLIMATE_TROPICAL),bitmask( TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB),RECOLOUR_BGOR, PASS,MAIL,GOOD,0x36  ,23,)
TOWNBUILDING1(,BASEARCT,SHOPS_AND_OFFICES_3,CLASS_ARCTIC,normal_only_switch,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,4477,4478,4479,4577,0,64,16,TILETYPE_SNOW,1963,MAX_YEAR,105,50,1,19, STR_TOWN_BUILDING_NAME_SHOPS_AND_OFFICES_1,7,2,3,105,130,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_ARCTIC | ABOVE_SNOWLINE | CLIMATE_TROPICAL),bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS,MAIL,GOOD,0x46,24,)
TOWNBUILDING1(,BASETEMP,LARGE_OFFICE_BLOCK_1,CLASS_TEMPERATE,adjacenttropicpark_switch() && sametypenearby4_max_switch(),GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,1440,1441,1442,4569,0,64,16,TILETYPE_SNOW,1975,MAX_YEAR,220,85,8,10, STR_TOWN_BUILDING_NAME_LARGE_OFFICE_BLOCK_1,10,4,6,160,160, HOUSE_FLAG_ANIMATE,bitmask(CLIMATE_TEMPERATE | CLIMATE_ARCTIC | ABOVE_SNOWLINE | CLIMATE_TROPICAL),bitmask(TOWNZONE_CENTRE),RECOLOUR_N, PASS,MAIL,GOOD,0x04  ,25,)
TOWNBUILDING1(,BASETEMP,TALL_OFFICE_BLOCK_1,CLASS_TROPIC_FLATS,no_desert_switch() && (check_samecount1_switch() || onlycity_switch()),1424,1424,1421,1422,1423,1423,0,96,16,TILETYPE_SNOW,1900,2000,187,70,2,5, STR_TOWN_BUILDING_NAME_TALL_OFFICE_BLOCK_1,8,3,4,140,150,HOUSE_FLAG_NOT_SLOPED, bitmask(CLIMATE_TROPICAL),bitmask(TOWNZONE_CENTRE),RECOLOUR_N, PASS,MAIL,GOOD,0x46,26,)
TOWNBUILDING1(,BASETEMP,OFFICE_BLOCK_3,CLASS_TEMPERATE,check_samecount2_switch() || (onlycity_switch() && no_desert_switch() && sametypenearby4_max_switch()),1476,1476,1476,1477,1478,1478,0,64,16,TILETYPE_SNOW,1920,2000,110,55,10,15, STR_TOWN_BUILDING_NAME_OFFICE_BLOCK_3,6,2,6,110,155,, bitmask(CLIMATE_TROPICAL), bitmask(TOWNZONE_CENTRE),RECOLOUR_N, PASS,MAIL,GOOD,0x46,27,)
TOWNBUILDING1(,BASETEMP,FOUNTAIN_1,CLASS_TEMPERATE_PARK,check_samecount2_switch() || (onlycity_switch() && sametypenearby4_max_switch()),GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,1455,1455,0,16,16,TILETYPE_SNOW,1945,MAX_YEAR,0,0,10,10, STR_TOWN_BUILDING_NAME_FOUNTAIN_1,1,0,3,40,65,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TEMPERATE | CLIMATE_ARCTIC | CLIMATE_TROPICAL)   ,bitmask(TOWNZONE_CENTRE),RECOLOUR_N, PASS,MAIL,WATR,0x0A  ,28,)
TOWNBUILDING1(,BASETEMP,PARK_1,CLASS_TEMPERATE_PARK,no_desert_switch() && noslums_switch(),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,1456,1456,0,32,16,TILETYPE_SNOW,1900,MAX_YEAR,0,0,2,10, STR_TOWN_BUILDING_NAME_PARK_1,2,0,2,75,60,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TEMPERATE | CLIMATE_TROPICAL), bitmask(TOWNZONE_OUTER_SUBURB | TOWNZONE_INNER_SUBURB),RECOLOUR_N, PASS,MAIL,TOUR,0x0B  ,29,)
TOWNBUILDING1(,BASETEMP,PARK_1B,CLASS_TEMPERATE_PARK,no_desert_switch() && noslums_switch(),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,1457,1457,0,32,16,TILETYPE_SNOW,1935,MAX_YEAR,0,0,3,10, STR_TOWN_BUILDING_NAME_PARK_1,2,0,2,75,60,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TEMPERATE | CLIMATE_TROPICAL), bitmask(TOWNZONE_INNER_SUBURB | TOWNZONE_CENTRE),RECOLOUR_N, PASS,MAIL,TOUR,0x0C  ,30,)
HOUSELAYOUT1(,BASETEMP,HOTEL_1_E,CLASS_RESIDENTIAL ,,GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,1451,1452,1453,1453,0,32,16,TILETYPE_SNOW,,,,,,,,,,,,,,,,,,,,,32,)
TOWNBUILDING1X2(,BASETEMP,HOTEL_1,CLASS_RESIDENTIAL ,popmin1000_switch() && noslums12_switch() && roadSW_switch() && no_slope00_switch(),GROUNDSPRITE_CONCRETE,GROUNDSPRITE_CONCRETE,1448,1449,1450,1450,0,32,16,TILETYPE_SNOW,1959,MAX_YEAR,140,0,8,10, STR_TOWN_BUILDING_NAME_HOTEL_1,6,1,4,150,180,,bitmask(CLIMATE_TEMPERATE | CLIMATE_TROPICAL),bitmask(TOWNZONE_CENTRE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS,FOOD,TOUR,0x07  ,31,)
//adobe houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNBUILDING1(,BASETROP,ADOBE_HUTS_1,CLASS_TROPIC,roadSE_switch,spriteset_clayhuts_gnd(0),spriteset_desert_houses3_gnd(0),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_clayhuts(0),spriteset_desert_houses3(0),0,16,16,TILETYPE_DESERT,0,1960,5,0,15,0, STR_TOWN_BUILDING_NAME_ADOBE_HUTS_1,2,1,1,5,10,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE),RECOLOUR_N, PASS,WATR,FOOD, 0x51  ,33,)
TOWNBUILDING1(,BASETROP,ADOBE_HUTS_1b,CLASS_TROPIC,roadSW_switch,spriteset_clayhuts_gnd(1),spriteset_desert_houses3_gnd(1),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_clayhuts(1),spriteset_desert_houses3(1),0,16,16,TILETYPE_DESERT,0,1960,5,0,15,0, STR_TOWN_BUILDING_NAME_ADOBE_HUTS_1,2,1,1,5,10,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE  | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS,WATR,FOOD, 0x51  ,34,)
TOWNBUILDING1(,BASETROP,ADOBE_HUTS_1c,CLASS_TROPIC,roadNE_switch,spriteset_clayhuts_gnd(2),spriteset_desert_houses3_gnd(2),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_clayhuts(2),spriteset_desert_houses3(2),0,16,16,TILETYPE_DESERT,0,1960,5,0,15,0, STR_TOWN_BUILDING_NAME_ADOBE_HUTS_1,2,1,1,5,10,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE  | TOWNZONE_OUTSKIRT | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS,WATR,FOOD, 0x51  ,35,)
TOWNBUILDING1(,BASETROP,ADOBE_HUTS_1d,CLASS_TROPIC,no_desert_switch,spriteset_clayhuts_gnd(3),spriteset_clayhuts_gnd(3),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_clayhuts(3),spriteset_clayhuts(3),0,16,16,TILETYPE_DESERT,0,1955,6,0,10,5, STR_TOWN_BUILDING_NAME_ADOBE_HUTS_1,2,1,2,8,15,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE  | TOWNZONE_OUTSKIRT | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS,WATR,FOOD, 0x51  ,36,)
TOWNBUILDING1(,BASETROP,ADOBE_HUTS_1e,CLASS_TROPIC,no_desert_switch,spriteset_clayhuts_gnd(4),spriteset_clayhuts_gnd(4),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_clayhuts(4),spriteset_clayhuts(4),0,16,16,TILETYPE_DESERT,0,1950,7,0,8,5, STR_TOWN_BUILDING_NAME_ADOBE_HUTS_1,3,1,2,10,20,HOUSE_FLAG_NOT_SLOPED,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE  | TOWNZONE_OUTSKIRT | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS,WATR,FOOD, 0x51  ,37,)
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSELAYOUT1(,BASETROP,ADOBE_GRANARIES_AND_HUTS_1_V2,CLASS_TROPIC,,spriteset_claygranaries_fences_gnd(0),spriteset_claygranaries_desert_gnd(0),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries_fences(0),spriteset_claygranaries_desert(0),0,16,16,TILETYPE_DESERT,,,,,,,,,,,,,,bitmask(CLIMATE_TROPICAL) ,,RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,,)
TOWNBUILDINGV2(,BASETROP,ADOBE_GRANARIES_AND_HUTS_1,CLASS_TROPIC,nearby_road_switch,spriteset_claygranaries_gnd(0),spriteset_claygranaries_desert_gnd(1),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries(0),spriteset_claygranaries_desert(1),0,16,16,TILETYPE_DESERT,0,1960,6,0,5,0, STR_TOWN_BUILDING_NAME_ADOBE_HUTS_AND_GRANARIES_1,2,2,1,5,10, ,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,38,)
HOUSELAYOUT1(,BASETROP,ADOBE_GRANARIES_AND_HUTS_1b_V2,CLASS_TROPIC,,spriteset_claygranaries_fences_gnd(1),spriteset_claygranaries_desert_gnd(3),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries_fences(1),spriteset_claygranaries_desert(3),0,16,16,TILETYPE_DESERT,,,,,,,,,,,,,,bitmask(CLIMATE_TROPICAL) ,,RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,,)
TOWNBUILDINGV2(,BASETROP,ADOBE_GRANARIES_AND_HUTS_1b,CLASS_TROPIC,nearby_road_switch,spriteset_claygranaries_gnd(1),spriteset_claygranaries_desert_gnd(4),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries(1),spriteset_claygranaries_desert(4),0,16,16,TILETYPE_DESERT,0,1960,5,0,7,0, STR_TOWN_BUILDING_NAME_ADOBE_HUTS_AND_GRANARIES_1,1,3,2,5,10, ,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE | TOWNZONE_INNER_SUBURB | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,39,)
HOUSELAYOUT1(,BASETROP_WAREHOUSE,ADOBE_GRANARIES_1_V2,CLASS_TROPIC,,spriteset_claygranaries_fences_gnd(2),spriteset_claygranaries_desert_gnd(1),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries_fences(2),spriteset_claygranaries_desert(1),0,16,16,TILETYPE_DESERT,,,,,,,,,,,,,,bitmask(CLIMATE_TROPICAL) ,,RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,,)
TOWNBUILDINGV2(,BASETROP_WAREHOUSE,ADOBE_GRANARIES_1,CLASS_TROPIC_WAREHOUSE,nearby_road_switch,spriteset_claygranaries_gnd(2),spriteset_claygranaries_desert_gnd(2),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries(2),spriteset_claygranaries_desert(2),0,16,16,TILETYPE_DESERT,0,1955,5,0,3,5,STR_TOWN_BUILDING_NAME_ADOBE_GRANARIES_1,1,2,2,5,10, ,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE | TOWNZONE_OUTER_SUBURB | TOWNZONE_OUTSKIRT),RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,40,)
HOUSELAYOUT1(,BASETROP_WAREHOUSE,ADOBE_GRANARIES_1b_V2,CLASS_TROPIC,,spriteset_claygranaries_fences_gnd(3),spriteset_claygranaries_fences_gnd(3),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries_fences(3),spriteset_claygranaries_fences(3),0,16,16,TILETYPE_DESERT,,,,,,,,,,,,,,bitmask(CLIMATE_TROPICAL) ,,RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,,)
TOWNBUILDINGV2(,BASETROP_WAREHOUSE,ADOBE_GRANARIES_1b,CLASS_TROPIC_WAREHOUSE,nearby_road_switch() && sameclassnearby3_max_switch(),spriteset_claygranaries_gnd(3),spriteset_claygranaries_gnd(3),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries(3),spriteset_claygranaries(3),0,16,16,TILETYPE_DESERT,0,1950,2,0,2,10,STR_TOWN_BUILDING_NAME_ADOBE_GRANARIES_1,0,4,2,8,15, ,bitmask(CLIMATE_TROPICAL) ,bitmask(TOWNZONE_EDGE  | TOWNZONE_OUTER_SUBURB),RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,41,)
HOUSELAYOUT1(,BASETROP_WAREHOUSE,ADOBE_GRANARIES_1c_V2,CLASS_TROPIC,,spriteset_claygranaries_fences_gnd(4),spriteset_claygranaries_fences_gnd(4),GROUNDSPRITE_CLEARED,GROUNDSPRITE_CLEARED,spriteset_claygranaries_fences(4),spriteset_claygranaries_fences(4),0,16,16,TILETYPE_DESERT,,,,,,,,,,,,,,bitmask(CLIMATE_TROPICAL) ,,RECOLOUR_N, PASS,WATR,FOOD, 0x56  ,,)
